smiles,A,B,r2,n_pts,T_min,T_max,is_hc,eta_300,d_eta_dA_300,d_eta_dB_300,rel_sens_A,impact_1pct_A,impact_1pct_B_300,eta_5pct_err
COc1ccccc1C=O,-11.344498292826952,1623.4153249177061,0.9993998178645213,7,333.33,500.0,False,0.0026502166796139493,0.0026502166796139493,8.834055598713164e-06,11.344498292826952,0.11344498292826952,0.05411384416392354,131.1263016399812
C[SiH3],-10.485290900714674,-332.63861474911766,0.994292809503772,10,250.0,500.0,False,9.220453978013051e-06,9.220453978013051e-06,3.0734846593376835e-08,10.485290900714674,0.10485290900714674,0.01108795382497059,78.55104025465316
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-11.822277023572882,1706.0636682829602,0.9998912685979705,13,293.15,423.15,False,0.002164863150846126,0.002164863150846126,7.21621050282042e-06,11.822277023572882,0.11822277023572882,0.05686878894276534,139.99737406362286
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-11.793227757872033,1858.9550877674333,0.9994323500120169,15,293.15,493.15,False,0.003710046760079319,0.003710046760079319,1.2366822533597731e-05,11.793227757872033,0.11793227757872034,0.06196516959224778,145.83422381630825
Cc1c(N)cccc1N,-11.386743324487195,1582.8790309219883,0.998665543576106,5,388.89,500.0,False,0.002219485452578218,0.002219485452578218,7.398284841927394e-06,11.386743324487195,0.11386743324487196,0.05276263436406628,130.05548616698707
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-14.26018214057938,3465.7912347969877,0.9999949490292296,6,361.11,500.0,False,0.06670037584251716,0.06670037584251716,0.00022233458614172386,14.26018214057938,0.1426018214057938,0.11552637449323293,263.51158438784574
Cc1cc(C)c(C)c(C)c1C,-13.672614394318078,2321.731867563408,0.9999996731174883,7,333.33,500.0,True,0.0026491719245808083,0.0026491719245808083,8.830573081936027e-06,13.672614394318078,0.13672614394318078,0.07739106225211359,191.70885033877147
Cc1ccc([N+](=O)[O-])cc1,-9.87065675906544,1016.3013507501515,0.9748317559240379,7,333.33,500.0,False,0.001529238178856529,0.001529238178856529,5.09746059618843e-06,9.87065675906544,0.09870656759065441,0.03387671169167172,94.04431918883604
Cc1ccc2ccccc2c1,-10.590387168460554,1265.4611185627741,0.9892439704939664,7,333.33,500.0,True,0.0017084249070801053,0.0017084249070801053,5.694749690267017e-06,10.590387168460554,0.10590387168460554,0.04218203728542581,109.68360061878153
Cc1cccc([N+](=O)[O-])c1,-10.196454290666106,1159.112921070402,0.9789729796673254,9,303.15,500.0,False,0.0017771495871274493,0.0017771495871274493,5.923831957091498e-06,10.196454290666106,0.10196454290666106,0.038637097369013405,101.98196017856284
Cc1cccc2ccccc12,-11.200677242506368,1587.127953003572,0.9656165312148265,16,277.78,473.15,True,0.002711506939249033,0.002711506939249033,9.038356464163443e-06,11.200677242506368,0.11200677242506368,0.052904265100119065,128.08659822394642
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,-14.45727663348493,2619.9315947933396,0.9999999988356367,10,250.0,500.0,False,0.003266058680509859,0.003266058680509859,1.0886862268366198e-05,14.45727663348493,0.1445727663348493,0.08733105315977799,218.83995979475856
Cc1cccnc1,-10.832666687657431,1133.6605402950654,0.9998147776279461,6,293.15,343.15,False,0.0008641205961637533,0.0008641205961637533,2.880401987212511e-06,10.832666687657431,0.10832666687657432,0.037788684676502184,107.6277771732038
Cc1ccncc1,-11.871460734642513,1449.900526875284,0.9709982471404475,9,298.15,338.15,False,0.0008774777330467045,0.0008774777330467045,2.9249257768223483e-06,11.871460734642513,0.11871460734642514,0.048330017562509466,130.53283662484398
Cl,-9.998986794769477,-329.2541365628624,0.994893122752608,10,250.0,500.0,False,1.5165300778182776e-05,1.5165300778182776e-05,5.055100259394259e-08,9.998986794769477,0.09998986794769478,0.010975137885428747,74.16362225695524
ClCl,-10.148054177012227,-314.28003951371375,0.9974583087936355,7,250.0,416.67,False,1.3733749206281485e-05,1.3733749206281485e-05,4.5779164020938286e-08,10.148054177012227,0.10148054177012228,0.010476001317123791,75.02921475094607
Clc1ccc(I)cc1,-9.159428311479317,521.7928649461549,0.9999973318760499,7,333.33,500.0,False,0.0005990779937930397,0.0005990779937930397,1.9969266459767987e-06,9.159428311479317,0.09159428311479317,0.017393095498205162,72.44995510613738
FC(C(F)(F)F)C(F)(F)F,-19.48440690883216,1150.5100913221158,0.9688408818618512,17,253.15,372.15,False,1.597951313712574e-07,1.597951313712574e-07,5.326504379041913e-10,19.48440690883216,0.1948440690883216,0.03835033637740386,220.904064288709
FC(F)(Cl)Cl,-10.17517226208938,-346.5547685690316,0.9952139019256383,10,250.0,500.0,False,1.2002989382569974e-05,1.2002989382569974e-05,4.000996460856658e-08,10.17517226208938,0.1017517226208938,0.01155182561896772,76.21201966130133
FC(F)(F)Cl,-10.186862764326992,-285.39537466678433,0.9981095430770617,6,250.0,388.89,False,1.4546201264924729e-05,1.4546201264924729e-05,4.848733754974909e-08,10.186862764326992,0.10186862764326993,0.009513179155559477,74.52695855249014
FC(F)(F)F,-9.992900254017679,-288.4142913201449,0.9947787085056401,10,250.0,500.0,False,1.7483006165624633e-05,1.7483006165624633e-05,5.8276687218748776e-08,9.992900254017679,0.09992900254017678,0.009613809710671498,72.92954327595871
FC(F)=C(F)Cl,-10.212725509139798,-328.92612017445157,0.9932530261703498,10,250.0,500.0,False,1.2260278522593626e-05,1.2260278522593626e-05,4.086759507531209e-08,10.212725509139798,0.10212725509139797,0.010964204005815053,76.02525542459912
FC(F)CC(F)(F)F,-10.427135176178476,-308.24795489281496,0.9975676076709785,7,300.93,395.6,False,1.0600298899746422e-05,1.0600298899746422e-05,3.5334329665821405e-08,10.427135176178476,0.10427135176178476,0.0102749318297605,77.31035300273818
FC(F)Cl,-10.126285888027112,-340.9908873742029,0.995082362398588,10,250.0,500.0,False,1.2840296356115577e-05,1.2840296356115577e-05,4.280098785371859e-08,10.126285888027112,0.10126285888027113,0.01136636291247343,75.6188979914638
FC(F)F,-10.060672611046808,-311.2381424721092,0.9957088386006275,9,250.0,472.22,False,1.5140563581866472e-05,1.5140563581866472e-05,5.046854527288824e-08,10.060672611046808,0.10060672611046809,0.010374604749070307,74.1778389658369
FCC(F)(F)F,-19.32672542331298,1112.8362894968552,0.9852599695414482,8,302.99,368.26,False,1.650081244792059e-07,1.650081244792059e-07,5.50027081597353e-10,19.32672542331298,0.1932672542331298,0.03709454298322851,216.3911207308016
FN(F)F,-9.827528170078208,-299.1310492318978,0.994091230779099,10,250.0,500.0,False,1.9903167510509382e-05,1.9903167510509382e-05,6.634389170169794e-08,9.827528170078208,0.09827528170078209,0.009971034974396593,71.81215696612315
FS(F)(F)(F)(F)F,-10.064458063906438,-305.4505160518589,0.9917068212904352,17,250.0,500.0,False,1.537717254143742e-05,1.537717254143742e-05,5.12572418047914e-08,10.064458063906438,0.10064458063906438,0.010181683868395297,74.04284569437803
F[Si](F)(F)F,-10.068239256449923,-282.24611496139596,0.9913985966078981,10,250.0,500.0,False,1.6551072747619165e-05,1.6551072747619165e-05,5.517024249206389e-08,10.068239256449923,0.10068239256449923,0.009408203832046531,73.40383281082647
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,-18.37950384720802,1202.5395576887126,0.9998488028540952,5,298.15,318.15,False,5.73769175423725e-07,5.73769175423725e-07,1.912563918079083e-09,18.37950384720802,0.1837950384720802,0.040084651922957085,206.30111007136009
Fc1c(F)c(F)c(F)c(F)c1F,-19.5018313656439,1533.3418680817085,0.9980855276309915,5,298.15,318.15,False,5.626028892504745e-07,5.626028892504745e-07,1.8753429641682485e-09,19.5018313656439,0.19501831365643899,0.05111139560272362,242.34490816937364
I,-9.749495249218496,-331.2568440705837,0.9916880190295331,10,250.0,500.0,False,1.9333238728453797e-05,1.9333238728453797e-05,6.4444129094846e-08,9.749495249218496,0.09749495249218497,0.011041894802352792,72.06192179491187
N,-10.224759420453124,-376.4839340418439,0.9887517742337796,10,250.0,500.0,False,1.033777529496241e-05,1.033777529496241e-05,3.445925098320803e-08,10.224759420453124,0.10224759420453124,0.012549464468061463,77.53281753571868
N#CCc1ccccc1,-11.104164792872169,1458.0822024189827,0.9938627675275177,13,250.0,500.0,False,0.0019422837941326886,0.0019422837941326886,6.474279313775629e-06,11.104164792872169,0.11104164792872169,0.048602740080632756,122.15872992297912
N#Cc1ccccn1,-10.900996791862054,1377.8590252010508,0.9986891253002268,8,305.56,500.0,False,0.0018214299956183292,0.0018214299956183292,6.071433318727764e-06,10.900996791862054,0.10900996791862054,0.04592863417336836,116.99258803753042
N#Cc1ccncc1,-9.492464089635316,662.613025558153,0.9999994310864759,6,361.11,500.0,False,0.0006866032081454522,0.0006866032081454522,2.2886773604848406e-06,9.492464089635316,0.09492464089635316,0.022087100851938435,79.50963703950691
N#N,-10.058702679942794,-261.2724715405824,0.9941959340518518,37,250.0,500.0,False,1.7919681600377755e-05,1.7919681600377755e-05,5.973227200125918e-08,10.058702679942794,0.10058702679942794,0.00870908238468608,72.71636353995004
