compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
"N-(2-(2-(allyldimethylammonio)ethoxy)ethyl)-N,N-dimethylpentan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C20H36F12N4O9S4,True,7,False,0,cyZDM
"N-(2-(2-(dimethyl(3-phenylpropyl)ammonio)ethoxy)ethyl)-N,N-dimethylpentan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C26H42F12N4O9S4,True,7,False,0,JBVUG
"N-(2-(2-(dimethyl(propyl)ammonio)ethoxy)ethyl)-N,N-dimethylpentan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C20H38F12N4O9S4,True,7,False,0,SzvnK
N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,C10H21F6N3O4S2,True,12,False,0,mkqmj
N-(2-ethylhexyl)ethylenediammonium trifluoroacetate,C12H25F3N2O2,True,13,False,0,TwMWw
"N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium bis((trifluoromethyl)sulfonyl)amide",C9H18F6N2O5S2,True,25,False,0,lBECh;gGOia
"N-(2-hydroxyethyl)-N,N-dimethylpentanaminium bis((trifluoromethyl)sulfonyl)amide",C11H22F6N2O5S2,True,19,False,0,AWaXB
"N-(2-hydroxyethyl)-N,N-dimethylpropan-2-aminium bis((trifluoromethyl)sulfonyl)amide",C9H18F6N2O5S2,True,13,True,1,iSsbC;tAJVp
N-(2-hydroxyethyl)benzenaminium butyrate,C12H19NO3,True,11,False,0,lIusV
N-(2-hydroxyethyl)benzenaminium hexanoate,C14H23NO3,True,11,False,0,Cihak
N-(2-hydroxyethyl)benzenaminium pentanoate,C13H21NO3,True,11,False,0,gyYDq
N-(2-hydroxyethyl)benzenaminium propionate,C11H17NO3,True,11,False,0,ZdOqH
N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,C10H18N4O,False,0,True,7,ygsmh
N-(3-hydroxypropyl)pyridinium dicyanamide,C10H12N4O,True,7,False,0,PgXYj
"N-(8,8-dimethyl-2,5,11-trioxa-8-azatridecan-8-ium-13-yl)-N,N-dimethylpentan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C22H42F12N4O11S4,True,7,False,0,FUZrX
"N-(8,8-dimethyl-2,5,11-trioxa-8-azatridecan-8-ium-13-yl)-N,N-dimethylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide",C20H38F12N4O11S4,True,7,False,0,RjtKj
N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,C11H22F6N4O4S2,True,7,False,0,lxGDq
