SMILES,method,T_K,surface_tension_Nm,Tc,Pc,Tb
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,350,0.06512916215581639,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,400,0.06028238009755132,1165.5014926421236,2280587.0048503517,913.51
Cc1nn(CC(=O)O)c(C)c1/N=N/c1ccccc1,joback,450,0.055505483967492567,1165.5014926421236,2280587.0048503517,913.51
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,250,0.07494434491036389,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,300,0.07029983710395758,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,350,0.06571048701922845,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,400,0.06117871819626437,1230.4331011243903,1841993.7740610428,997.1899999999998
C(=O)(OC)C(Cc1ccc(O)cc1)N(Nc1ccc(OC)cc1)C(=O)OCC,joback,450,0.056707212317429735,1230.4331011243903,1841993.7740610428,997.1899999999998
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,250,0.049252423557990525,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,300,0.04711820959614557,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,350,0.04500143261144861,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,400,0.04290261039894245,1654.6644255258234,1031247.2027419625,1350.71
C=C[C@H](OC(C1C=CC=CC=1)C1C=CC=CC=1)C([C@@H](C=C)OC(C1C=CC=CC=1)C1C=CC=CC=1)(O)C1C=CC=CC=1,joback,450,0.040822297304673634,1654.6644255258234,1031247.2027419625,1350.71
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,250,0.047979336566588635,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,300,0.04426556070330694,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,350,0.04060763137234655,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,400,0.03700870430028095,1033.8208290507184,1916936.8269634799,781.4099999999999
C(F)(F)(F)c1ccc([C@H]2C[C@@H]3CCCC[C@]32c2ccccn2)cc1,joback,450,0.03347237523749204,1033.8208290507184,1916936.8269634799,781.4099999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,250,0.03871993502080177,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,300,0.0353258517895445,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,350,0.03199010629342219,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,400,0.028716507195592673,941.4497970284477,1663255.8832687102,712.8399999999999
C[Si](C)(C)C#CC1C2CC(c3c2cc(OC)c(OC)c3)C1,joback,450,0.025509484557791434,941.4497970284477,1663255.8832687102,712.8399999999999
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,250,0.057204890955222715,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,300,0.053372139016958725,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,350,0.0495888160104737,1156.4280747413868,1937239.6349930572,889.6700000000001
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,400,0.04585729216457617,1156.4280747413868,1937239.6349930572,889.6700000000001
