name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,Tfus,295.1 ± 0.9,K,AVG,N/A,Average of 28 out of 29 values;Individual data points
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,Ttriple,295.14,K,N/A,"Messerly, Guthrie, et al., 1967",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.04 K;TRC
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,Tc,734. ± 7.,K,AVG,N/A,Average of 7 values;Individual data points
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,Pc,13. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Heptadecane,629-78-7,Pc,13.20,bar,N/A,"Nikitin, Pavlov, et al., 1994",Uncertainty assigned by TRC =  0.40 bar;TRC
n-Heptadecane,629-78-7,Pc,13.42,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  1.60 bar;TRC
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,Vc,1.103,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,ρc,0.9 ± 0.2,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Heptadecane,629-78-7,ρc,0.907,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.02 mol/l;TRC
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,ΔvapH°,86.02,kJ/mol,N/A,"Majer and Svoboda, 1985",
n-Heptadecane,629-78-7,ΔvapH°,86.5,kJ/mol,N/A,"Ruzicka and Majer, 1994",AC
n-Heptadecane,629-78-7,ΔvapH°,86.0 ± 0.8,kJ/mol,C,"Morawetz, 1972",AC
n-Heptadecane,629-78-7,ΔvapH°,86.2,kJ/mol,N/A,"Reid, 1972",AC
n-Heptadecane,629-78-7,Quantity,Value,Units,Method,Reference,Comment
n-Heptadecane,629-78-7,ΔsubH°,125.1,kJ/mol,N/A,"Morawetz, 1972, 2",AC
n-Octadecane,593-45-3,Tboil,589.3,K,N/A,"Weast and Grasselli, 1989",BS
n-Octadecane,593-45-3,Tboil,581.,K,N/A,"Matsui and Arakawa, 1932",Uncertainty assigned by TRC =  3. K;TRC
n-Octadecane,593-45-3,Tboil,581.65,K,N/A,"Von Braun and Sobecki, 1911",Uncertainty assigned by TRC =  2.5 K;TRC
n-Octadecane,593-45-3,Tboil,585.65,K,N/A,"Sorabji, 1885",Uncertainty assigned by TRC =  2. K;TRC
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
