name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,ΔfH°gas,-414.6 ± 2.7,kJ/mol,Ccb,"Prosen and Rossini, 1945",
n-Nonadecane,629-92-5,ΔfH°gas,-435.1 ± 2.9,kJ/mol,Ccb,"Prosen and Rossini, 1945",
n-Eicosane,112-95-8,ΔfH°gas,-455.8 ± 3.1,kJ/mol,Ccb,"Prosen and Rossini, 1945",
Isopentane,78-78-4,ΔfH°gas,-153.7 ± 0.59,kJ/mol,Ccb,"Good, 1970",ALS
Isopentane,78-78-4,ΔfH°gas,-154.1 ± 0.96,kJ/mol,Cm,"Pilcher and Chadwick, 1967",ALS
Isopentane,78-78-4,ΔfH°gas,-154.5 ± 0.84,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,ΔcH°gas,-3528.4 ± 0.92,kJ/mol,Cm,"Pilcher and Chadwick, 1967",Corresponding ΔfHºgas= -154.1 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
Isopentane,78-78-4,ΔcH°gas,-3528.6 ± 0.63,kJ/mol,Cm,"Knowlton and Rossini, 1939",Corresponding ΔfHºgas= -153.9 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
Isopentane,78-78-4,ΔcH°gas,-3527.6 ± 3.5,kJ/mol,Ccb,"Roth and Pahlke, 1936","Reanalyzed byCox and Pilcher, 1970, Original value = -3529.0 kJ/mol; Corresponding ΔfHºgas= -155.0 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS"
Neopentane,463-82-1,ΔfH°gas,-167.9 ± 0.63,kJ/mol,Ccb,"Good, 1970",ALS
Neopentane,463-82-1,ΔfH°gas,-168.5 ± 1.0,kJ/mol,Cm,"Pilcher and Chadwick, 1967",ALS
Neopentane,463-82-1,ΔfH°gas,-166.0 ± 1.0,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
