name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
n-Octane,111-65-9,36.3,411.,A,"Stephenson and Malanowski, 1987",Based on data from 396. to 432. K.;AC,,,,,,
n-Octane,111-65-9,35.5,443.,A,"Stephenson and Malanowski, 1987",Based on data from 428. to 510. K.;AC,,,,,,
n-Octane,111-65-9,34.9,521.,A,"Stephenson and Malanowski, 1987",Based on data from 506. to 569. K.;AC,,,,,,
n-Octane,111-65-9,41.2,310.,N/A,"Paul, Krug, et al., 1986",Based on data from 295. to 402. K.;AC,,,,,,
n-Octane,111-65-9,41.9,313.,N/A,"Michou-Saucet, Jose, et al., 1984",Based on data from 298. to 333. K.;AC,,,,,,
n-Octane,111-65-9,40.5 ± 0.1,313.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Octane,111-65-9,39.1 ± 0.1,333.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Octane,111-65-9,37.8 ± 0.1,353.,C,"Majer, Svoboda, et al., 1979",AC,,,,,,
n-Octane,111-65-9,43.0,282.,N/A,"Carruth and Kobayashi, 1973",Based on data from 217. to 297. K.;AC,,,,,,
n-Octane,111-65-9,38.0 ± 0.1,311.,C,"McKay and Sage, 1960",AC,,,,,,
n-Octane,111-65-9,36.7 ± 0.1,328.,C,"McKay and Sage, 1960",AC,,,,,,
n-Octane,111-65-9,35.4 ± 0.1,344.,C,"McKay and Sage, 1960",AC,,,,,,
n-Octane,111-65-9,39.2,341.,MM,"Willingham, Taylor, et al., 1945",Based on data from 326. to 400. K.;AC,,,,,,
n-Octane,111-65-9,,A (kJ/mol),,,,,,58.46,,,
n-Octane,111-65-9,,α,,,,,,0.1834,,,
n-Octane,111-65-9,,β,,,,,,0.3324,,,
n-Octane,111-65-9,,Tc(K),,,,,,568.8,,,
n-Octane,111-65-9,,Reference,,,,,,"Majer and Svoboda, 1985",,,
n-Nonane,111-84-2,36.91,424.,N/A,"Majer and Svoboda, 1985",,,,,,,
n-Nonane,111-84-2,46.7,299.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Nonane,111-84-2,46.,314.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Nonane,111-84-2,48.3,234.,A,"Stephenson and Malanowski, 1987","Based on data from 219. to 308. K. See alsoCarruth and Kobayashi, 1973.;AC",,,,,,
n-Nonane,111-84-2,42.7,359.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 344. to 426. K. See alsoWillingham, Taylor, et al., 1945andForziati, Norris, et al., 1949.;AC",,,,,,
n-Nonane,111-84-2,43.9,337.,N/A,"Paul, Krug, et al., 1986",Based on data from 322. to 413. K.;AC,,,,,,
n-Nonane,111-84-2,44.3,328.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
n-Nonane,111-84-2,43.2,343.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
n-Nonane,111-84-2,42.1,358.,C,"Majer, Svoboda, et al., 1984",AC,,,,,,
n-Decane,124-18-5,38.75,447.3,N/A,"Majer and Svoboda, 1985",,,,,,,
n-Decane,124-18-5,48.3,339.,GC,"Mokbel, Razzouk, et al., 2007",Based on data from 324. to 402. K.;AC,,,,,,
n-Decane,124-18-5,46.6,352.,N/A,"Batiu, 2002",Based on data from 337. to 376. K.;AC,,,,,,
n-Decane,124-18-5,51.5,299.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Decane,124-18-5,50.5,314.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Decane,124-18-5,50.1,324.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Decane,124-18-5,49.2,334.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Decane,124-18-5,42.5,424.,N/A,"Lee, Dempsey, et al., 1992",Based on data from 409. to 584. K.;AC,,,,,,
n-Decane,124-18-5,48.1,340.,"EB,IP","Chirico, Nguyen, et al., 1989",Based on data from 268. to 490. K.;AC,,,,,,
n-Decane,124-18-5,53.8,267.,A,"Stephenson and Malanowski, 1987",Based on data from 252. to 383. K.;AC,,,,,,
n-Decane,124-18-5,41.7,462.,A,"Stephenson and Malanowski, 1987",Based on data from 447. to 526. K.;AC,,,,,,
n-Decane,124-18-5,38.6,539.,A,"Stephenson and Malanowski, 1987",Based on data from 524. to 617. K.;AC,,,,,,
n-Decane,124-18-5,45.3,388.,N/A,"Stephenson and Malanowski, 1987","Based on data from 373. to 443. K. See alsoVarushchenko, Belikova, et al., 1970.;AC",,,,,,
n-Decane,124-18-5,50.3,313.,GS,"Allemand, Jose, et al., 1986",Based on data from 298. to 347. K.;AC,,,,,,
n-Decane,124-18-5,49.8 ± 1.7,308. to 351.,N/A,"Beckhaus, Ruchardt, et al., 1984",AC,,,,,,
n-Decane,124-18-5,55.9,258.,N/A,"Carruth and Kobayashi, 1973",Based on data from 243. to 310. K.;AC,,,,,,
n-Decane,124-18-5,45.5,383.,MM,"Willingham, Taylor, et al., 1945",Based on data from 368. to 440. K.;AC,,,,,,
n-Undecane,1120-21-4,56.2,299.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Undecane,1120-21-4,55.4,314.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Undecane,1120-21-4,54.5,324.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Undecane,1120-21-4,54.0,334.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Undecane,1120-21-4,53.1,344.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Undecane,1120-21-4,60.0,293.,A,"Stephenson and Malanowski, 1987",Based on data from 278. to 470. K.;AC,,,,,,
n-Undecane,1120-21-4,49.1,393.,N/A,"Camin and Rossini, 1955",Based on data from 378. to 470. K.;AC,,,,,,
n-Dodecane,112-40-3,61.4,299.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Dodecane,112-40-3,58.1,334.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Dodecane,112-40-3,57.4,344.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Dodecane,112-40-3,65.7,278.,N/A,"Sasse, Jose, et al., 1988",Based on data from 263. to 371. K.;AC,,,,,,
n-Dodecane,112-40-3,61.8,293.,A,"Stephenson and Malanowski, 1987",Based on data from 278. to 400. K.;AC,,,,,,
n-Dodecane,112-40-3,51.6,415.,"A,MM","Stephenson and Malanowski, 1987","Based on data from 400. to 492. K. See alsoWillingham, Taylor, et al., 1945.;AC",,,,,,
n-Dodecane,112-40-3,61.1,313.,GS,"Allemand, Jose, et al., 1986",Based on data from 298. to 389. K.;AC,,,,,,
n-Tridecane,629-50-5,65.3,309.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,64.9,314.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,64.2,324.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,63.3,334.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,62.4,344.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,62.3,349.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tridecane,629-50-5,54.5,432.,A,"Stephenson and Malanowski, 1987","Based on data from 417. to 511. K. See alsoCamin and Rossini, 1955.;AC",,,,,,
n-Tridecane,629-50-5,65.6,308.,C,"Sunner and Svensson, 1979",AC,,,,,,
n-Tridecane,629-50-5,64.6,318.,C,"Sunner and Svensson, 1979",AC,,,,,,
n-Tridecane,629-50-5,61.7,348.,C,"Sunner and Svensson, 1979",AC,,,,,,
n-Tetradecane,629-59-4,69.0,324.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tetradecane,629-59-4,68.6,329.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tetradecane,629-59-4,67.9,334.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tetradecane,629-59-4,66.8,344.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tetradecane,629-59-4,65.7,359.,C,"Viton, Chavret, et al., 1996",AC,,,,,,
n-Tetradecane,629-59-4,67.8,328.,A,"Stephenson and Malanowski, 1987",Based on data from 313. to 433. K.;AC,,,,,,
n-Tetradecane,629-59-4,57.1,447.,A,"Stephenson and Malanowski, 1987","Based on data from 432. to 529. K. See alsoCamin and Rossini, 1955.;AC",,,,,,
